"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
105,"0",0,0,0.896872741532688,0.442288690219001,0.608761429008721,0.793353340291235,"1","F",8.11044624633155,7.0745205022879,6.54905730834093
106,"0",0,0,0.894934361602025,0.446197813109809,0.601815023152048,0.798635510047293,"1","F",8.10958424716478,7.07070781537982,6.55033302939182
107,"0",0,0,0.892978943411137,0.450098441037435,0.594822786751341,0.803856860617217,"1","F",8.10874449348853,7.06700198548651,6.55163800210471
108,"0",0,0,0.891006524188368,0.453990499739547,0.587785252292473,0.809016994374947,"1","F",8.10792699488979,7.06340290424737,6.55297222456466
109,"0",0,0,0.889017141485736,0.457873915116957,0.58070295571094,0.814115518356319,"1","F",8.1071317607375,7.0599104671187,6.55433569474076
110,"0",0,0,0.887010833178222,0.461748613235034,0.573576436351046,0.819152044288992,"1","F",8.10635880018299,7.05652457337715,6.55572841048479
111,"0",0,0,0.884987637463042,0.465614520325111,0.566406236924833,0.824126188622016,"1","F",8.10560812216067,7.05324512612378,6.55715036953052
112,"0",0,0,0.882947592858927,0.469471562785891,0.559192903470747,0.829037572555042,"1","F",8.10487973538739,7.05007203228843,6.55860156949234
113,"0",0,0,0.880890738205386,0.473319667184843,0.551936985312058,0.833885822067168,"1","F",8.10417364836303,7.04700520263327,6.56008200786437
114,"0",0,0,0.878817112661965,0.477158760259608,0.544639035015027,0.838670567945424,"1","F",8.10348986937106,7.04404455175722,6.5615916820193
115,"0",0,0,0.876726755707508,0.480988768919388,0.537299608346824,0.843391445812886,"1","F",8.10282840647847,7.04118999809953,6.5631305892075
116,"0",0,0,0.874619707139396,0.484809620246337,0.529919264233205,0.848048096156426,"1","F",8.10218926753578,7.03844146394499,6.56469872655521
117,"0",0,0,0.872496007072797,0.488621241496955,0.522498564715949,0.852640164354092,"1","F",8.10157246017707,7.03579887542696,6.56629609106403
118,"0",0,0,0.8703556959399,0.492423560103467,0.515038074910054,0.857167300702112,"1","F",8.10097799182131,7.03326216253254,6.56792267960896
119,"0",0,0,0.868198814489142,0.496216503675208,0.507538362960704,0.861629160441526,"1","F",8.10040586967102,7.03083125910575,6.56957848893853
120,"0",0,0,0.866025403784439,0.5,0.5,0.866025403784439,"1","F",8.09985610071317,7.02850610285327,6.57126351567194
121,"0",0,0,0.863835505204396,0.503773977045526,0.492423560103467,0.8703556959399,"1","F",8.09932869171939,7.02628663534779,6.572977756299
122,"0",0,0,0.861629160441526,0.507538362960704,0.484809620246337,0.874619707139396,"1","F",8.09882364924601,7.02417280203258,6.5747212071783
123,"0",0,0,0.859406411501453,0.511293086077052,0.477158760259608,0.878817112661965,"1","F",8.09834097963403,7.02216455222651,6.57649386453613
124,"0",0,0,0.857167300702112,0.515038074910054,0.469471562785891,0.882947592858927,"1","F",8.09788068900934,7.0202618391279,6.57829572446462
125,"0",0,0,0.854911870672947,0.518773258160521,0.461748613235034,0.887010833178222,"1","F",8.09744278328299,7.01846461981927,6.58012678292107
126,"0",0,0,0.852640164354092,0.522498564715949,0.453990499739547,0.891006524188368,"1","F",8.09702726815135,7.01677285527285,6.5819870357268
127,"0",0,0,0.850352224995563,0.52621392365187,0.446197813109809,0.894934361602025,"1","F",8.09663414909551,7.01518651035349,6.58387647856443
128,"0",0,0,0.848048096156426,0.529919264233205,0.438371146789077,0.898794046299167,"1","F",8.09626343138234,7.0137055538255,6.58579510697791
