"tod","dstate1","dstate2","dstate3","lci1","lci2","lci3","uci1","uci2","uci3","group"
1049,9.44275840741489,33.0437381716868,5.02171758920508,5.83699511616293,22.3967191116625,3.79088765077013,17.3560750735865,47.5664892142999,7.79802869758656,5
1050,9.45718186695331,33.0150365970658,5.02966307927773,5.85086165160364,22.3755771975973,3.79677048266209,17.3839523648942,47.500066690267,7.81145443626677,5
1051,9.4716135373701,32.9860557851634,5.03765432514501,5.8647653933885,22.354253533074,3.80269235643766,17.4078128647474,47.4331939071986,7.82494497787135,5
1052,9.48605308776678,32.9567965539845,5.04569138602096,5.87711389029536,22.3327489140197,3.80865336181586,17.431622613166,47.3658733507844,7.83850034204543,5
1053,9.50050018548359,32.9272597312799,5.05377432074715,5.88916819417573,22.3110641421544,3.81465358860855,17.4554003033284,47.2981075223325,7.85212054716568,5
1054,9.51495449610456,32.8974461545142,5.06190318777954,5.90125809103728,22.2892000249368,3.82069312671159,17.4791452003584,47.2298989386322,7.86580561032017,5
1055,9.5294156834666,32.8673566708326,5.0700780451773,5.91338345214955,22.2671573755097,3.82677206609661,17.5028565689321,47.161250131816,7.87955554728946,5
1056,9.54388340966648,32.8369921370274,5.07829895059172,5.9255441465666,22.2449370126462,3.8328904968016,17.5265336733231,47.0965651587749,7.89337037252706,5
1057,9.55835733506865,32.806353419506,5.08656596125252,5.93774004111423,22.2225397606958,3.83904850892308,17.5501757774469,47.0392381238273,7.90725009913922,5
1058,9.57283711831269,32.7754413942559,5.09487913395765,5.94997100037595,22.1999664495292,3.84524619260626,17.5737821449064,46.9813826771381,7.92119473886638,5
1059,9.58732241632265,32.7442569468124,5.10323852506008,5.96223688668149,22.1772179144841,3.85148363803677,17.5973520390364,46.9239149209687,7.93520430206225,5
1060,9.60181288431454,32.7128009722223,5.11164419045531,5.97453756009212,22.1542949963116,3.85776093543106,17.6208847229492,46.8662464078854,7.94927879767466,5
1061,9.61630817580544,32.6810743750113,5.12009618557045,5.98687287838917,22.1311985411195,3.86407817502715,17.6443794595805,46.808057343481,7.96341823322567,5
1062,9.63080794262214,32.6490780691483,5.12859456534989,5.99924269706118,22.1079294003196,3.87043544707569,17.667835511734,46.7493503229939,7.97762261479087,5
1063,9.64531183491044,32.6168129780101,5.13713938424462,6.01164686929048,22.0844884305716,3.87683284183024,17.6912521421278,46.6901279627154,7.99189194697966,5
1064,9.65981950114383,32.5842800343473,5.14573069619814,6.02408524594172,22.0608764937286,3.88327044953741,17.7146286134394,46.6303928998114,8.00622623291502,5
1065,9.6743305881339,32.5514801802467,5.15436855463463,6.03655767554882,22.0370944567824,3.88974836042837,17.737964188353,46.5701477921424,8.02062547421336,5
1066,9.68884474103902,32.5184143670972,5.16305301244574,6.04906400430299,22.0131431918082,3.89626666470737,17.7612581296035,46.5093953180825,8.03508967096343,5
1067,9.70336160337524,32.4850835555526,5.17178412197791,6.06160407604052,21.9890235759095,3.90282545254358,17.7845097000245,46.4481381763379,8.04961882170667,5
1068,9.71788081702539,32.4514887154951,5.18056193501957,6.07417773223118,21.9647364911628,3.9094248140598,17.8077181625932,46.3863790857651,8.06421292341606,5
1069,9.7324020222502,32.4176308259985,5.18938650278733,6.08678481196531,21.9402828245633,3.91606483932305,17.830882780477,46.3241207851871,8.07887197147538,5
1070,9.74692485769856,32.3835108752914,5.19825787591344,6.09942515194298,21.9156634679687,3.92274561833439,17.8540028170802,46.2613660332104,8.0935959596591,5
1071,9.76144896041797,32.3491298607196,5.20717610443262,6.11209858646226,21.890879318044,3.92946724101829,17.8770775360898,46.1981176080391,8.10838488011082,5
1072,9.77597396586611,32.3144887887081,5.21614123776817,6.12480494740743,21.8659312762071,3.93622979721249,17.9001062015227,46.1343783072909,8.1232387233229,5
1073,9.7904995079216,32.2795886747235,5.22515332471835,6.1375440642377,21.8408202485725,3.94303337665714,17.9230880777714,46.0701509478102,8.13815747811474,5
1074,9.80502521889548,32.2444305432357,5.23421241344408,6.15031576397571,21.8155471458964,3.94977302005214,17.9460224296511,46.005438365481,8.15314113161275,5
